account_id,customer_id,branch_id,account_type,balance,open_date,status
1,11749,141,Current,95902.0,2019-10-20,Active
2,47716,43,Current,13261.61,2026-02-03,Active
3,56143,90,Savings,26495.92,2020-10-19,Active
4,29193,113,Salary,74682.72,2012-02-22,Active
5,49907,28,Current,40419.01,2007-01-03,Active
6,49217,122,Fixed Deposit,5435.18,2022-07-15,Dormant
7,25363,133,Salary,27347.4,2023-10-12,Active
8,54808,43,Salary,24366.63,2008-04-08,Active
9,52839,18,Current,6690.39,2008-12-22,Active
10,56889,64,Fixed Deposit,63862.41,2021-10-01,Active
11,341,134,Savings,61953.74,2021-02-05,Active
12,12415,74,Savings,24180.24,2019-12-05,Active
13,25200,60,Savings,9689.54,2014-08-25,Active
14,38464,107,Savings,100287.33,2024-03-22,Active
15,8554,65,Current,32414.25,2013-06-27,Active
16,11809,126,Fixed Deposit,93230.49,2020-02-13,Active
17,23470,7,Savings,180067.85,2012-08-04,Dormant
18,12774,60,Current,10291.2,2019-06-15,Active
19,48205,95,Savings,2115.69,2014-02-17,Active
20,12423,83,Current,8596.89,2018-05-25,Active
21,57618,62,Savings,15303.2,2014-07-17,Active
22,26449,72,Salary,19974.77,2022-09-18,Active
23,8004,42,Savings,12872.77,2013-03-11,Active
24,36353,104,Savings,40852.98,2025-01-07,Active
25,33185,150,Savings,20407.57,2017-12-26,Active
26,57280,81,Salary,74700.24,2014-07-14,Active
27,11710,57,Savings,4985.54,2007-02-12,Active
28,30278,80,Savings,117604.71,2024-05-12,Active
29,17742,54,Salary,43001.83,2022-12-13,Dormant
30,37432,8,Savings,20190.18,2008-05-12,Active
31,48299,19,Current,831.51,2005-06-30,Active
32,51419,50,Savings,77386.43,2023-03-23,Active
33,59093,5,Savings,146304.21,2021-05-25,Active
34,35700,64,Fixed Deposit,50500.7,2016-07-03,Active
35,33901,17,Fixed Deposit,26728.98,2020-10-21,Closed
36,27951,128,Salary,54796.77,2012-03-29,Active
37,51448,62,Savings,44335.85,2006-05-13,Active
38,44303,138,Savings,15396.24,2022-03-02,Active
39,42408,87,Current,3227.28,2016-11-20,Dormant
40,41268,70,Salary,83611.33,2021-08-06,Dormant
41,21450,115,Savings,77442.89,2011-10-15,Active
42,22760,68,Savings,26543.35,2016-06-12,Active
43,20741,2,Savings,37368.63,2025-09-16,Active
44,27496,20,Savings,10301.58,2006-03-02,Active
45,3979,80,Savings,11397.37,2024-11-02,Active
46,44755,131,Fixed Deposit,12496.51,2019-02-14,Active
47,34644,99,Savings,56745.21,2022-04-07,Active
48,8733,134,Savings,19809.97,2022-05-31,Active
49,379,28,Savings,78081.16,2010-03-18,Active
50,57950,108,Fixed Deposit,81379.15,2011-03-09,Active
51,55142,102,Current,101515.47,2014-04-19,Active
52,14873,102,Savings,111009.01,2007-05-20,Active
53,42253,79,Savings,75701.96,2019-04-06,Active
54,22223,81,Savings,62055.04,2019-04-30,Active
55,32823,130,Savings,62857.08,2006-05-12,Active
56,27668,65,Savings,27458.11,2016-12-23,Active
57,36931,103,Current,128857.42,2007-07-15,Active
58,44402,51,Salary,4095.21,2022-11-16,Active
59,16266,87,Savings,1722.62,2009-06-24,Dormant
60,31249,129,Salary,14076.24,2019-11-18,Active
61,9999,117,Savings,92670.5,2018-11-06,Active
62,38039,106,Fixed Deposit,116624.84,2022-05-23,Active
63,40534,103,Current,91218.73,2011-11-25,Active
64,46085,111,NRI,160248.26,2012-10-28,Active
65,20853,96,Current,90980.76,2006-04-17,Active
66,59766,14,Savings,10799.77,2007-04-21,Active
67,59924,15,Savings,46001.47,2011-08-13,Active
68,38705,9,Savings,9598.6,2016-04-04,Active
69,19330,85,Savings,33487.9,2018-07-24,Active
70,23452,113,NRI,115494.89,2019-12-11,Active
71,38118,139,Savings,35956.02,2009-05-03,Active
72,28435,57,Current,57162.89,2012-05-22,Active
73,10332,113,Current,23414.42,2012-12-01,Active
74,53438,32,NRI,6517.75,2017-03-18,Active
75,43346,57,Savings,3788.01,2005-10-03,Active
76,58815,52,Current,97755.85,2020-09-27,Closed
77,39659,123,Savings,4022.19,2009-12-23,Active
78,23100,139,Current,7514.79,2025-08-02,Active
79,14080,58,Fixed Deposit,1747.46,2005-10-18,Dormant
80,14860,128,Savings,31518.37,2008-05-14,Active
81,411,44,Salary,3759.88,2016-06-21,Active
82,57963,127,Savings,35308.97,2008-02-09,Active
83,50156,104,Current,38887.14,2018-08-17,Active
84,32323,45,Fixed Deposit,32366.97,2022-08-06,Dormant
85,39864,141,Current,4702.53,2011-08-21,Active
86,33135,123,Current,64204.05,2024-01-19,Active
87,10188,136,Savings,9546.23,2010-07-12,Active
88,34207,149,Savings,115629.93,2005-10-18,Active
89,59417,117,Savings,10640.24,2018-02-01,Active
90,15410,150,Savings,64992.04,2010-09-19,Dormant
91,53424,81,Fixed Deposit,40362.92,2020-03-01,Active
92,49738,121,Savings,41933.71,2006-03-06,Active
93,48556,85,Savings,49042.22,2018-01-20,Active
94,29541,43,Salary,76959.18,2011-08-13,Active
95,5252,51,Current,114378.84,2015-06-10,Active
96,5756,104,Current,27237.04,2019-10-01,Active
97,6942,11,Current,65313.2,2008-06-29,Active
98,45458,112,Salary,78585.88,2021-10-27,Dormant
99,23481,23,Savings,51605.74,2014-01-23,Active
100,40993,141,Savings,107312.05,2012-12-11,Active
101,58086,126,Savings,12091.89,2021-10-18,Active
102,24029,69,Savings,30996.99,2006-02-13,Active
103,56261,95,Savings,17357.44,2025-05-01,Active
104,49785,123,Fixed Deposit,56475.93,2023-09-10,Active
105,8147,71,Savings,38946.09,2017-04-01,Active
